heuristic,network,ctg_id,num_traces,mean_gap,median_gap,max_gap,mean_ratio,median_ratio,expected_ratio,expected_online_makespan,expected_offline_makespan
CPOP,2node_homo,0,16,0.642375,0.6762999999999999,1.1181,0.91571875,0.9104,1.1075766510406508,7.5172320322,6.7964377533
CPOP,2node_homo,1,4,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.8151449902999999,1.8151449902999999
CPOP,2node_homo,2,3,0.029566666666666668,0.0,0.0887,0.9884,1.0,1.0199110019913031,2.3529983123,2.3040033097
CPOP,2node_homo,3,24,0.25905416666666664,0.23750000000000002,1.2965,0.9571875,0.9585,1.027085525408251,4.8750549508,4.7597485259
CPOP,2node_homo,4,4,0.0,0.0,0.0,1.0,1.0,1.0,1.5010313025,1.5010313025
CPOP,2node_homo,5,2,0.11935,0.11935,0.2387,0.97095,0.97095,1.0238761721052905,4.056311408,3.9639727000000002
CPOP,2node_homo,6,30,0.45985000000000004,0.4217,1.1374,0.9293266666666666,0.93625,1.0541704559075464,6.8518499525,6.5086313293
CPOP,2node_homo,7,4,0.0,0.0,0.0,1.0,1.0,1.0,2.2267121956,2.2267121956
CPOP,2node_homo,8,2,0.0276,0.0276,0.0552,0.98805,0.98805,1.0171117067599271,2.3141,2.2754463655999997
CPOP,3node_hetero,0,16,1.31825625,1.21835,1.8746,0.761575,0.7743,1.3342716560746593,5.4782039069,4.1118916432
CPOP,3node_hetero,1,4,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.9076224825,0.9076224825
CPOP,3node_hetero,2,3,0.0,0.0,0.0,1.0,1.0,1.0,1.1681766416000001,1.1681766416000001
CPOP,3node_hetero,3,24,0.7845166666666668,0.8524499999999999,1.2699,0.7995291666666667,0.7812,1.3276971505119228,3.9506329655,2.994404556
CPOP,3node_hetero,4,4,0.0,0.0,0.0,1.0,1.0,1.0,0.7504849255999999,0.7504849255999999
CPOP,3node_hetero,5,2,0.0,0.0,0.0,1.0,1.0,1.0,2.3604000000000003,2.3604000000000003
CPOP,3node_hetero,6,30,1.14608,1.0854,1.7352,0.7419933333333333,0.7552,1.29174880993093,4.6890276583,3.6629336788
CPOP,3node_hetero,7,4,0.0,0.0,0.0,1.0,1.0,1.0,1.1133744226000002,1.1133744226000002
CPOP,3node_hetero,8,2,0.0,0.0,0.0,1.0,1.0,1.0,1.1448372795,1.1448372795
HEFT,2node_homo,0,16,1.48815,1.40255,2.2775,0.82611875,0.83465,1.2400766078722314,8.5232673858,6.8798561686
HEFT,2node_homo,1,4,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.8151449902999999,1.8151449902999999
HEFT,2node_homo,2,3,0.40186666666666665,0.2289,0.9767,0.8549666666666668,0.907,1.1100863093725308,2.552083612,2.3346943102
HEFT,2node_homo,3,24,0.9024791666666667,1.12705,1.5902,0.8600208333333333,0.8197,1.0380300433977203,4.9180799799,4.7469201888
HEFT,2node_homo,4,4,0.0,0.0,0.0,1.0,1.0,1.0,1.5010313025,1.5010313025
HEFT,2node_homo,5,2,0.11935,0.11935,0.2387,0.97095,0.97095,1.0238761721052905,4.056311408,3.9639727000000002
HEFT,2node_homo,6,30,0.5418866666666666,0.5601,1.1309,0.9220900000000001,0.9155500000000001,1.1021566974827939,7.0500341887,6.3817986675
HEFT,2node_homo,7,4,0.0,0.0,0.0,1.0,1.0,1.0,2.2267121956,2.2267121956
HEFT,2node_homo,8,2,0.1259,0.1259,0.2518,0.94975,0.94975,1.0782610717265866,2.5048,2.3284778054
HEFT,3node_hetero,0,16,1.0905875,1.1461,1.5172,0.79256875,0.786,1.288256282575536,5.2570427949,4.0847334298
HEFT,3node_hetero,1,4,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.9076224825,0.9076224825
HEFT,3node_hetero,2,3,0.0,0.0,0.0,1.0,1.0,1.0,1.1681766416000001,1.1681766416000001
HEFT,3node_hetero,3,24,0.2232625,0.2357,0.9926,0.941275,0.9367,1.0769182747207067,3.5789512023,3.3349918584
HEFT,3node_hetero,4,4,0.0,0.0,0.0,1.0,1.0,1.0,0.7504849255999999,0.7504849255999999
HEFT,3node_hetero,5,2,0.0,0.0,0.0,1.0,1.0,1.0,2.3604000000000003,2.3604000000000003
HEFT,3node_hetero,6,30,1.4868333333333335,1.5379,2.0851,0.7111333333333333,0.6978,1.3915078183053151,5.1718950731,3.733691797
HEFT,3node_hetero,7,4,0.0,0.0,0.0,1.0,1.0,1.0,1.1133744226000002,1.1133744226000002
HEFT,3node_hetero,8,2,0.0,-0.0,-0.0,1.0,1.0,1.0,1.1448372795,1.1448372795
